county,year,value
Fulton,2022,11.782795887883314
Fulton,2023,11.99002316052022
Fulton,2024,11.798509472928078
Gilmer,2018,10.714285714285714
Gilmer,2019,9.036144578313253
Gilmer,2020,8.620689655172415
Gilmer,2021,11.564625850340136
Gilmer,2022,9.615384615384617
Gilmer,2023,13.29639889196676
Gilmer,2024,10.029498525073747
Glascock,2018,-5
Glascock,2019,-5
Glascock,2020,-5
Glascock,2021,-5
Glascock,2022,-5
Glascock,2023,-5
Glascock,2024,18.75
Glynn,2018,10.633727175080558
Glynn,2019,13.707865168539326
Glynn,2020,12.983770287141075
Glynn,2021,11.950394588500563
Glynn,2022,11.314285714285715
Glynn,2023,14.14027149321267
Glynn,2024,12.5
Gordon,2018,9.228441754916792
Gordon,2019,8.663729809104257
Gordon,2020,10.59190031152648
Gordon,2021,9.178743961352657
Gordon,2022,11.078717201166182
Gordon,2023,11.9533527696793
Gordon,2024,9.855072463768117
Grady,2018,8.77742946708464
Grady,2019,13.745704467353953
Grady,2020,9.621993127147768
Grady,2021,12.251655629139073
Grady,2022,11.11111111111111
Grady,2023,10.932475884244374
Grady,2024,10.333333333333334
Greene,2018,14.450867052023122
Greene,2019,18.88888888888889
Greene,2020,13.380281690140844
Greene,2021,21.98581560283688
Greene,2022,18.84057971014493
Greene,2023,16.55629139072848
Greene,2024,12.087912087912088
Gwinnett,2018,10.86032926181625
Gwinnett,2019,11.02005231037489
Gwinnett,2020,9.767057960381512
Gwinnett,2021,10.476618705035971
Gwinnett,2022,10.528135534618377
Gwinnett,2023,10.657147772234646
Gwinnett,2024,10.151410874053681
Habersham,2018,9.722222222222223
Habersham,2019,8.714596949891067
Habersham,2020,8.284023668639055
Habersham,2021,12.075471698113208
Habersham,2022,12.692307692307692
Habersham,2023,6.756756756756757
Habersham,2024,8.94454382826476
Hall,2018,10.195141377937077
Hall,2019,10.244470314318974
Hall,2020,8.63107185869129
Hall,2021,9.732824427480915
Hall,2022,8.741385564018861
Hall,2023,8.900709219858156
Hall,2024,8.747579083279536
Hancock,2018,15.555555555555555
Hancock,2019,21.875
Hancock,2020,26.785714285714285
Hancock,2021,18
Hancock,2022,15.09433962264151
Hancock,2023,21.73913043478261
Hancock,2024,24.137931034482758
Haralson,2018,9.55223880597015
Haralson,2019,10.56701030927835
Haralson,2020,11.019283746556475
Haralson,2021,10.115606936416185
Haralson,2022,9.798270893371757
Haralson,2023,12.602739726027398
Haralson,2024,10.218978102189782
Harris,2018,14.330218068535824
Harris,2019,11.929824561403509
Harris,2020,15.2317880794702
Harris,2021,15.264797507788161
Harris,2022,12.54237288135593
Harris,2023,11.945392491467576
Harris,2024,13.761467889908257
Hart,2018,13.805970149253731
Hart,2019,9.157509157509157
Hart,2020,12.25296442687747
Hart,2021,12.323943661971832
Hart,2022,12.099644128113878
Hart,2023,16.666666666666664
Hart,2024,9.811320754716983
Heard,2018,8.571428571428571
Heard,2019,11.811023622047244
Heard,2020,12.686567164179104
Heard,2021,10.852713178294573
Heard,2022,12.711864406779661
Heard,2023,9.375
Heard,2024,9.230769230769232
Henry,2018,12.335329341317365
Henry,2019,12.426268187180495
Henry,2020,13.747954173486088
Henry,2021,12.346625766871165
Henry,2022,12.805755395683452
