county,year,group,value
Butts,2022,Black or African-American,22.22222222222222
Butts,2023,Black or African-American,24.528301886792452
Butts,2024,Black or African-American,16.216216216216218
Butts,2018,Selected Races Total,24.836601307189543
Butts,2019,Selected Races Total,26.451612903225808
Butts,2020,Selected Races Total,25.333333333333336
Butts,2021,Selected Races Total,18.93491124260355
Butts,2022,Selected Races Total,24.705882352941178
Butts,2023,Selected Races Total,18.421052631578945
Butts,2024,Selected Races Total,19.424460431654676
Calhoun,2018,All Races,25
Calhoun,2019,All Races,31.03448275862069
Calhoun,2020,All Races,25
Calhoun,2021,All Races,35.294117647058826
Calhoun,2022,All Races,39.285714285714285
Calhoun,2023,All Races,28.000000000000004
Calhoun,2024,All Races,34.48275862068966
Calhoun,2018,White,-5
Calhoun,2019,White,-5
Calhoun,2020,White,-5
Calhoun,2021,White,-5
Calhoun,2022,White,-5
Calhoun,2023,White,-5
Calhoun,2024,White,-5
Calhoun,2018,Black or African-American,-5
Calhoun,2019,Black or African-American,32
Calhoun,2020,Black or African-American,38.88888888888889
Calhoun,2021,Black or African-American,35.714285714285715
Calhoun,2022,Black or African-American,43.75
Calhoun,2023,Black or African-American,-5
Calhoun,2024,Black or African-American,31.57894736842105
Calhoun,2018,Selected Races Total,25
Calhoun,2019,Selected Races Total,31.03448275862069
Calhoun,2020,Selected Races Total,25.806451612903224
Calhoun,2021,Selected Races Total,35.294117647058826
Calhoun,2022,Selected Races Total,39.285714285714285
Calhoun,2023,Selected Races Total,28.000000000000004
Calhoun,2024,Selected Races Total,34.48275862068966
Camden,2018,All Races,22.371364653243848
Camden,2019,All Races,25.86605080831409
Camden,2020,All Races,28.438228438228435
Camden,2021,All Races,23.25581395348837
Camden,2022,All Races,24.20814479638009
Camden,2023,All Races,25.062656641604008
Camden,2024,All Races,24.170616113744074
Camden,2018,White,23.47560975609756
Camden,2019,White,26.153846153846157
Camden,2020,White,31.438127090301005
Camden,2021,White,23.60655737704918
Camden,2022,White,25.465838509316768
Camden,2023,White,26.223776223776223
Camden,2024,White,24.25249169435216
Camden,2018,Black or African-American,17.582417582417584
Camden,2019,Black or African-American,23.684210526315788
Camden,2020,Black or African-American,21
Camden,2021,Black or African-American,19.27710843373494
Camden,2022,Black or African-American,20
Camden,2023,Black or African-American,18.055555555555554
Camden,2024,Black or African-American,24.137931034482758
Camden,2018,Selected Races Total,22.195704057279237
Camden,2019,Selected Races Total,25.6857855361596
Camden,2020,Selected Races Total,28.82205513784461
Camden,2021,Selected Races Total,22.68041237113402
Camden,2022,Selected Races Total,24.271844660194176
Camden,2023,Selected Races Total,24.581005586592177
Camden,2024,Selected Races Total,24.22680412371134
Candler,2018,All Races,34.24657534246575
Candler,2019,All Races,24.137931034482758
Candler,2020,All Races,24.691358024691358
Candler,2021,All Races,20.833333333333336
Candler,2022,All Races,25.925925925925924
Candler,2023,All Races,21.428571428571427
Candler,2024,All Races,30.666666666666664
Candler,2018,White,30.18867924528302
Candler,2019,White,23.214285714285715
Candler,2020,White,22.22222222222222
Candler,2021,White,13.114754098360656
Candler,2022,White,23.333333333333332
Candler,2023,White,18.181818181818183
Candler,2024,White,28.000000000000004
Candler,2018,Black or African-American,47.368421052631575
Candler,2019,Black or African-American,24.137931034482758
Candler,2020,Black or African-American,29.166666666666668
Candler,2021,Black or African-American,35.483870967741936
Candler,2022,Black or African-American,31.57894736842105
Candler,2023,Black or African-American,37.5
Candler,2024,Black or African-American,36
Candler,2018,Selected Races Total,34.72222222222222
Candler,2019,Selected Races Total,23.52941176470588
Candler,2020,Selected Races Total,24.358974358974358
Candler,2021,Selected Races Total,20.652173913043477
Candler,2022,Selected Races Total,25.31645569620253
Candler,2023,Selected Races Total,21.951219512195124
Candler,2024,Selected Races Total,30.666666666666664
Carroll,2018,All Races,23.314917127071823
Carroll,2019,All Races,25.302530253025303
Carroll,2020,All Races,25.843881856540087
Carroll,2021,All Races,26.004464285714285
Carroll,2022,All Races,23.66325369738339
Carroll,2023,All Races,25.892857142857146
Carroll,2024,All Races,26.94063926940639
Carroll,2018,White,22.33285917496444
Carroll,2019,White,26.406249999999996
Carroll,2020,White,24.821683309557773
Carroll,2021,White,25.25399129172714
Carroll,2022,White,24.201680672268907
Carroll,2023,White,26.73434856175973
Carroll,2024,White,27.23146747352496
Carroll,2018,Black or African-American,25
Carroll,2019,Black or African-American,26.285714285714285
Carroll,2020,Black or African-American,29.951690821256037
Carroll,2021,Black or African-American,25.64102564102564
Carroll,2022,Black or African-American,25.842696629213485
Carroll,2023,Black or African-American,24.242424242424242
Carroll,2024,Black or African-American,25.443786982248522
Carroll,2018,Selected Races Total,22.857142857142858
Carroll,2019,Selected Races Total,26.380368098159508
Carroll,2020,Selected Races Total,25.991189427312776
Carroll,2021,Selected Races Total,25.325443786982248
Carroll,2022,Selected Races Total,24.579560155239328
Carroll,2023,Selected Races Total,25.964912280701753
Carroll,2024,Selected Races Total,26.867469879518076
Catoosa,2018,All Races,28.703703703703702
Catoosa,2019,All Races,26.071428571428573
Catoosa,2020,All Races,21.693121693121693
Catoosa,2021,All Races,23.452768729641694
Catoosa,2022,All Races,26.08695652173913
Catoosa,2023,All Races,23.474178403755868
Catoosa,2024,All Races,27.27272727272727
Catoosa,2018,White,27.722772277227726
Catoosa,2019,White,26.436781609195403
Catoosa,2020,White,21.551724137931032
Catoosa,2021,White,25.179856115107913
Catoosa,2022,White,26.87224669603524
Catoosa,2023,White,25.128205128205128
