county,year,value
Johnson,2021,18.181818181818183
Johnson,2022,35.59322033898305
Johnson,2023,31.03448275862069
Johnson,2024,31.25
Jones,2018,22.35294117647059
Jones,2019,25
Jones,2020,26.993865030674847
Jones,2021,23.636363636363637
Jones,2022,26.543209876543212
Jones,2023,29.714285714285715
Jones,2024,21.637426900584796
Lamar,2018,23.4375
Lamar,2019,20.634920634920633
Lamar,2020,20
Lamar,2021,21.951219512195124
Lamar,2022,26.27118644067797
Lamar,2023,20.945945945945947
Lamar,2024,24.031007751937985
Lanier,2018,21.73913043478261
Lanier,2019,20.792079207920793
Lanier,2020,26.666666666666668
Lanier,2021,30.58823529411765
Lanier,2022,30.985915492957744
Lanier,2023,26.436781609195403
Lanier,2024,24.050632911392405
Laurens,2018,27.296587926509186
Laurens,2019,22.337662337662337
Laurens,2020,25.149700598802394
Laurens,2021,24.793388429752067
Laurens,2022,25.787965616045845
Laurens,2023,23.298429319371728
Laurens,2024,26.01626016260163
Lee,2018,16.444444444444446
Lee,2019,17.391304347826086
Lee,2020,22.613065326633166
Lee,2021,19.473684210526315
Lee,2022,22.660098522167488
Lee,2023,27.835051546391753
Lee,2024,20.833333333333336
Liberty,2018,27.681159420289852
Liberty,2019,24.9669749009247
Liberty,2020,27.64786795048143
Liberty,2021,28.317373461012313
Liberty,2022,27.11864406779661
Liberty,2023,30.90659340659341
Liberty,2024,29.805013927576603
Lincoln,2018,27.450980392156865
Lincoln,2019,18.51851851851852
Lincoln,2020,37.5
Lincoln,2021,24.489795918367346
Lincoln,2022,21.153846153846153
Lincoln,2023,28.26086956521739
Lincoln,2024,21.428571428571427
Long,2018,25.82417582417583
Long,2019,22.727272727272727
Long,2020,24.85207100591716
Long,2021,28.651685393258425
Long,2022,27.127659574468083
Long,2023,23.88059701492537
Long,2024,20.093457943925234
Lowndes,2018,24.352331606217618
Lowndes,2019,25.8252427184466
Lowndes,2020,25.799338478500548
Lowndes,2021,27.634194831013914
Lowndes,2022,27.094668117519046
Lowndes,2023,30.26166097838453
Lowndes,2024,27.37556561085973
Lumpkin,2018,35.11904761904761
Lumpkin,2019,21.686746987951807
Lumpkin,2020,30.967741935483872
Lumpkin,2021,25.443786982248522
Lumpkin,2022,21.465968586387437
Lumpkin,2023,22.459893048128343
Lumpkin,2024,28.061224489795915
McDuffie,2018,21.301775147928996
McDuffie,2019,23.636363636363637
McDuffie,2020,34.899328859060404
McDuffie,2021,25.308641975308642
McDuffie,2022,24.074074074074073
McDuffie,2023,29.770992366412212
McDuffie,2024,21.323529411764707
McIntosh,2018,27.659574468085108
McIntosh,2019,29.82456140350877
McIntosh,2020,27.77777777777778
McIntosh,2021,16.666666666666664
McIntosh,2022,28.57142857142857
McIntosh,2023,24.615384615384617
McIntosh,2024,33.33333333333333
Macon,2018,19.402985074626866
Macon,2019,23.333333333333332
Macon,2020,29.166666666666668
Macon,2021,25.97402597402597
Macon,2022,28.915662650602407
Macon,2023,32.89473684210527
Macon,2024,26.08695652173913
Madison,2018,24.725274725274726
Madison,2019,25.116279069767444
Madison,2020,20.408163265306122
Madison,2021,29.333333333333332
Madison,2022,31.25
Madison,2023,23
Madison,2024,21.07843137254902
Marion,2018,20.634920634920633
Marion,2019,33.33333333333333
Marion,2020,28.000000000000004
Marion,2021,18.181818181818183
Marion,2022,17.02127659574468
Marion,2023,24.561403508771928
Marion,2024,26.190476190476193
Meriwether,2018,23.448275862068964
Meriwether,2019,34.32835820895522
Meriwether,2020,24.817518248175183
Meriwether,2021,25.675675675675674
Meriwether,2022,32.3943661971831
Meriwether,2023,30.82706766917293
Meriwether,2024,26.153846153846157
Miller,2018,-5
Miller,2019,34.285714285714285
Miller,2020,19.444444444444446
Miller,2021,20
Miller,2022,32.25806451612903
Miller,2023,28.205128205128204
Miller,2024,32.55813953488372
Mitchell,2018,30.935251798561154
Mitchell,2019,27.64227642276423
Mitchell,2020,20.754716981132077
Mitchell,2021,18.30985915492958
Mitchell,2022,20.97902097902098
Mitchell,2023,29.411764705882355
Mitchell,2024,30.53435114503817
Monroe,2018,23.92638036809816
Monroe,2019,24.503311258278146
Monroe,2020,30.952380952380953
Monroe,2021,19.35483870967742
Monroe,2022,22.54335260115607
Monroe,2023,20.73170731707317
Monroe,2024,21.34831460674157
Montgomery,2018,22.950819672131146
Montgomery,2019,33.92857142857143
Montgomery,2020,19.230769230769234
Montgomery,2021,24.615384615384617
Montgomery,2022,29.78723404255319
Montgomery,2023,23.943661971830984
Montgomery,2024,23.076923076923077
Morgan,2018,24.409448818897637
Morgan,2019,21.705426356589147
Morgan,2020,19.491525423728813
Morgan,2021,17.94871794871795
Morgan,2022,20.175438596491226
Morgan,2023,16.101694915254235
Morgan,2024,24.545454545454547
Murray,2018,22.58064516129032
Murray,2019,31.528662420382165
Murray,2020,22.60536398467433
Murray,2021,19.243986254295535
Murray,2022,23.595505617977526
Murray,2023,27.68166089965398
Murray,2024,24.149659863945576
Muscogee,2018,26.01880877742947
Muscogee,2019,27.152777777777775
Muscogee,2020,27.200971463266544
Muscogee,2021,27.341294783155245
Muscogee,2022,25.795971410006498
Muscogee,2023,25.85428755641522
Muscogee,2024,26.634549208534068
Newton,2018,24.158653846153847
Newton,2019,23.739237392373923
Newton,2020,23.25581395348837
Newton,2021,23.552123552123554
Newton,2022,24.75369458128079
Newton,2023,24.84774665042631
Newton,2024,23.77892030848329
Oconee,2018,19.196428571428573
Oconee,2019,14.285714285714285
Oconee,2020,21.55963302752294
Oconee,2021,22.17391304347826
Oconee,2022,22.666666666666664
Oconee,2023,21.787709497206702
Oconee,2024,22.404371584699454
Oglethorpe,2018,25.263157894736842
Oglethorpe,2019,24.489795918367346
Oglethorpe,2020,27.86885245901639
Oglethorpe,2021,12.345679012345679
Oglethorpe,2022,26.41509433962264
Oglethorpe,2023,35.63218390804598
Oglethorpe,2024,25.49019607843137
Paulding,2018,21.81670721816707
Paulding,2019,21.815154038301415
Paulding,2020,22.785898538263112
Paulding,2021,22.03659506762132
Paulding,2022,23.599052880820835
Paulding,2023,21.9070133963751
Paulding,2024,23.12091503267974
Peach,2018,20.23121387283237
Peach,2019,28.07017543859649
Peach,2020,22.916666666666664
Peach,2021,27.160493827160494
Peach,2022,29.746835443037973
Peach,2023,25.862068965517242
Peach,2024,21.910112359550563
Pickens,2018,24.71264367816092
Pickens,2019,20.710059171597635
Pickens,2020,25.568181818181817
Pickens,2021,24.33862433862434
Pickens,2022,24.456521739130434
Pickens,2023,25.654450261780106
Pickens,2024,26.6304347826087
Pierce,2018,26.519337016574585
Pierce,2019,21.27659574468085
Pierce,2020,26.71232876712329
Pierce,2021,22
Pierce,2022,29.411764705882355
Pierce,2023,23.846153846153847
Pierce,2024,18.571428571428573
Pike,2018,16.535433070866144
Pike,2019,24.8
Pike,2020,16.428571428571427
Pike,2021,23.008849557522122
Pike,2022,22.22222222222222
Pike,2023,19.82758620689655
Pike,2024,28.440366972477065
Polk,2018,26.740947075208915
Polk,2019,25.595238095238095
Polk,2020,25.79710144927536
Polk,2021,26.948051948051948
Polk,2022,25.90529247910863
Polk,2023,27.22063037249284
Polk,2024,26.420454545454547
Pulaski,2018,24.285714285714285
Pulaski,2019,19.642857142857142
Pulaski,2020,18.181818181818183
Pulaski,2021,38.18181818181819
Pulaski,2022,17.46031746031746
Pulaski,2023,25
