county,year,value
Dougherty,2020,15.350488021295474
Dougherty,2021,13.573407202216067
Dougherty,2022,15.56420233463035
Dougherty,2023,11.23046875
Dougherty,2024,15.227934044616878
Douglas,2018,10.971973762671437
Douglas,2019,9.72644376899696
Douglas,2020,9.9523241954708
Douglas,2021,12.186379928315413
Douglas,2022,13.34113516676419
Douglas,2023,11.018957345971565
Douglas,2024,10.648714810281518
Early,2018,16.93548387096774
Early,2019,15.671641791044777
Early,2020,20.491803278688526
Early,2021,13.274336283185843
Early,2022,21.62162162162162
Early,2023,17.88617886178862
Early,2024,16.831683168316832
Echols,2018,10.204081632653061
Echols,2019,-5
Echols,2020,10
Echols,2021,-5
Echols,2022,8.771929824561402
Echols,2023,-5
Echols,2024,-5
Effingham,2018,8.074534161490684
Effingham,2019,7.274969173859433
Effingham,2020,9.034653465346535
Effingham,2021,9.324009324009324
Effingham,2022,11.387900355871885
Effingham,2023,9.230769230769232
Effingham,2024,10.114942528735632
Elbert,2018,8.866995073891626
Elbert,2019,12.32876712328767
Elbert,2020,11.282051282051283
Elbert,2021,8.542713567839195
Elbert,2022,13.360323886639677
Elbert,2023,12.5
Elbert,2024,14.622641509433961
Emanuel,2018,10.9717868338558
Emanuel,2019,9.285714285714286
Emanuel,2020,9.574468085106384
Emanuel,2021,12
Emanuel,2022,12.162162162162163
Emanuel,2023,9.722222222222223
Emanuel,2024,10.546875
Evans,2018,13.793103448275861
Evans,2019,13.043478260869565
Evans,2020,13.571428571428571
Evans,2021,10.16949152542373
Evans,2022,13.934426229508196
Evans,2023,12.837837837837837
Evans,2024,14.012738853503185
Fannin,2018,6.220095693779904
Fannin,2019,6.349206349206349
Fannin,2020,10.674157303370785
Fannin,2021,11.1731843575419
Fannin,2022,7.4074074074074066
Fannin,2023,7.291666666666667
Fannin,2024,6.122448979591836
Fayette,2018,9.230769230769232
Fayette,2019,10.93210586881473
Fayette,2020,9.883720930232558
Fayette,2021,11.060948081264108
Fayette,2022,12.052117263843648
Fayette,2023,9.299655568312284
Fayette,2024,9.898762654668166
Floyd,2018,9.289617486338798
Floyd,2019,9.247506799637353
Floyd,2020,8.668453976764969
Floyd,2021,9.418282548476455
Floyd,2022,9.122502172024326
Floyd,2023,9.48581560283688
Floyd,2024,7.319148936170213
Forsyth,2018,7.375713121434393
Forsyth,2019,7.7247783875052765
Forsyth,2020,6.399317406143344
Forsyth,2021,7.1933471933471935
Forsyth,2022,7.2250893211591904
Forsyth,2023,7.17741935483871
Forsyth,2024,8.164883075703527
Franklin,2018,7.450980392156863
Franklin,2019,7.664233576642336
Franklin,2020,7.462686567164178
Franklin,2021,7.913669064748201
Franklin,2022,8.148148148148149
Franklin,2023,7.396449704142012
Franklin,2024,10.031347962382444
Fulton,2018,11.475831333561878
Fulton,2019,10.4870519636426
Fulton,2020,11.083348206318044
Fulton,2021,11.9625520110957
Fulton,2022,11.484052367981725
Fulton,2023,11.27739176910743
Fulton,2024,11.762593157941994
Gilmer,2018,7.142857142857142
Gilmer,2019,6.927710843373494
Gilmer,2020,6.551724137931035
Gilmer,2021,6.802721088435375
Gilmer,2022,7.371794871794872
Gilmer,2023,9.141274238227147
Gilmer,2024,7.079646017699115
Glascock,2018,-5
Glascock,2019,0
Glascock,2020,-5
Glascock,2021,-5
Glascock,2022,-5
Glascock,2023,-5
Glascock,2024,-5
Glynn,2018,11.493018259935553
Glynn,2019,14.49438202247191
Glynn,2020,11.485642946317103
Glynn,2021,12.514092446448705
Glynn,2022,9.942857142857143
Glynn,2023,9.049773755656108
Glynn,2024,10.087719298245613
Gordon,2018,7.413010590015129
Gordon,2019,8.223201174743025
Gordon,2020,8.878504672897195
Gordon,2021,7.729468599033816
Gordon,2022,10.058309037900875
Gordon,2023,8.454810495626822
Gordon,2024,8.405797101449275
Grady,2018,6.583072100313479
Grady,2019,11.683848797250858
Grady,2020,5.841924398625429
Grady,2021,12.251655629139073
Grady,2022,8.417508417508419
Grady,2023,9.32475884244373
Grady,2024,10
Greene,2018,10.982658959537572
Greene,2019,15.555555555555555
Greene,2020,7.042253521126761
Greene,2021,13.47517730496454
Greene,2022,17.391304347826086
Greene,2023,12.582781456953644
Greene,2024,9.340659340659341
Gwinnett,2018,9.514958399716763
Gwinnett,2019,9.215344376634699
Gwinnett,2020,8.895818048422598
Gwinnett,2021,9.073741007194243
Gwinnett,2022,9.456305644394503
Gwinnett,2023,9.487355926371926
