county,year,value
Crawford,2019,9.448818897637794
Crawford,2020,11.304347826086957
Crawford,2021,10.434782608695652
Crawford,2022,14.529914529914532
Crawford,2023,9.090909090909092
Crawford,2024,19.19191919191919
Crisp,2018,22.540983606557376
Crisp,2019,22.857142857142858
Crisp,2020,12.741312741312742
Crisp,2021,13.821138211382115
Crisp,2022,24
Crisp,2023,19.469026548672566
Crisp,2024,16.666666666666664
Dade,2018,6.956521739130435
Dade,2019,17.431192660550458
Dade,2020,14.50381679389313
Dade,2021,15.151515151515152
Dade,2022,21.238938053097346
Dade,2023,20.192307692307693
Dade,2024,61.53846153846154
Dawson,2018,9.448818897637794
Dawson,2019,7.368421052631578
Dawson,2020,7.6923076923076925
Dawson,2021,8.223684210526317
Dawson,2022,8.235294117647058
Dawson,2023,6.030150753768844
Dawson,2024,11.751152073732719
Decatur,2018,15.789473684210526
Decatur,2019,13.838120104438643
Decatur,2020,19.65811965811966
Decatur,2021,15.835777126099707
Decatur,2022,18.902439024390244
Decatur,2023,17.419354838709676
Decatur,2024,25.624999999999996
DeKalb,2018,24.203454894433783
DeKalb,2019,22.650459531574267
DeKalb,2020,21.93763919821826
DeKalb,2021,17.35767326732673
DeKalb,2022,17.539186558754228
DeKalb,2023,22.186870293774525
DeKalb,2024,26.96796338672769
Dodge,2018,16.182572614107883
Dodge,2019,19.289340101522843
Dodge,2020,18.181818181818183
Dodge,2021,21.025641025641026
Dodge,2022,26.40449438202247
Dodge,2023,26.570048309178745
Dodge,2024,20.958083832335326
Dooly,2018,24.03846153846154
Dooly,2019,19.548872180451127
Dooly,2020,27.55102040816326
Dooly,2021,20
Dooly,2022,27.368421052631582
Dooly,2023,24
Dooly,2024,19.444444444444446
Dougherty,2018,27.0060396893874
Dougherty,2019,23.47972972972973
Dougherty,2020,19.590382902938558
Dougherty,2021,18.796296296296298
Dougherty,2022,22.135161606268365
Dougherty,2023,22.407045009784735
Dougherty,2024,27.84313725490196
Douglas,2018,28.09667673716012
Douglas,2019,27.082048118445407
Douglas,2020,25.27075812274368
Douglas,2021,20.566948130277442
Douglas,2022,21.08076009501188
Douglas,2023,22.615476904619076
Douglas,2024,26.223337515683813
Early,2018,16.129032258064516
Early,2019,23.308270676691727
Early,2020,23.52941176470588
Early,2021,29.20353982300885
Early,2022,31.19266055045872
Early,2023,41.80327868852459
Early,2024,32.432432432432435
Echols,2018,32.6530612244898
Echols,2019,33.9622641509434
Echols,2020,38
Echols,2021,31.25
Echols,2022,40.35087719298245
Echols,2023,35.294117647058826
Echols,2024,38.63636363636363
Effingham,2018,17.023959646910466
Effingham,2019,16.855345911949684
Effingham,2020,18.453865336658353
Effingham,2021,17.33490566037736
Effingham,2022,12.636695018226002
Effingham,2023,14.390243902439023
Effingham,2024,22.417840375586852
Elbert,2018,27.56756756756757
Elbert,2019,17.452830188679243
Elbert,2020,11.979166666666668
Elbert,2021,10.152284263959391
Elbert,2022,15.22633744855967
Elbert,2023,16.666666666666664
Elbert,2024,20.2970297029703
Emanuel,2018,14.006514657980457
Emanuel,2019,13.703703703703704
Emanuel,2020,14.336917562724013
Emanuel,2021,17.216117216117215
Emanuel,2022,22.02797202797203
